Time;CPU usage
2019-03-01T00:00:00+01:00;29333333
2019-03-01T01:00:00+01:00;36700000
2019-03-01T02:00:00+01:00;33233333
2019-03-01T03:00:00+01:00;34533333
2019-03-01T04:00:00+01:00;25000000
2019-03-01T05:00:00+01:00;25000000
2019-03-01T06:00:00+01:00;33666666
2019-03-01T07:00:00+01:00;29333333
2019-03-01T08:00:00+01:00;29766666
2019-03-01T09:00:00+01:00;33666666
2019-03-01T10:00:00+01:00;40600000
2019-03-01T11:00:00+01:00;28033333
2019-03-01T12:00:00+01:00;32366666
2019-03-01T13:00:00+01:00;26733333
2019-03-01T14:00:00+01:00;25000000
2019-03-01T15:00:00+01:00;25000000
2019-03-01T16:00:00+01:00;25000000
2019-03-01T17:00:00+01:00;27166666
2019-03-01T18:00:00+01:00;34100000
2019-03-01T19:00:00+01:00;25000000
2019-03-01T20:00:00+01:00;25000000
2019-03-01T21:00:00+01:00;29333333
2019-03-01T22:00:00+01:00;25000000
2019-03-01T23:00:00+01:00;25000000
2019-03-02T00:00:00+01:00;33666666
2019-03-02T01:00:00+01:00;33233333
2019-03-02T02:00:00+01:00;25000000
2019-03-02T03:00:00+01:00;32366666
2019-03-02T04:00:00+01:00;25000000
2019-03-02T05:00:00+01:00;25000000
2019-03-02T06:00:00+01:00;32800000
2019-03-02T07:00:00+01:00;25000000
2019-03-02T08:00:00+01:00;25000000
2019-03-02T09:00:00+01:00;32800000
2019-03-02T10:00:00+01:00;25000000
2019-03-02T11:00:00+01:00;25000000
2019-03-02T12:00:00+01:00;35400000
2019-03-02T13:00:00+01:00;25000000
2019-03-02T14:00:00+01:00;32366666
2019-03-02T15:00:00+01:00;25000000
2019-03-02T16:00:00+01:00;25000000
2019-03-02T17:00:00+01:00;25000000
2019-03-02T18:00:00+01:00;28900000
2019-03-02T19:00:00+01:00;25000000
2019-03-02T20:00:00+01:00;25000000
2019-03-02T21:00:00+01:00;25000000
2019-03-02T22:00:00+01:00;25000000
2019-03-02T23:00:00+01:00;38000000
2019-03-03T00:00:00+01:00;33666666
2019-03-03T01:00:00+01:00;34100000
2019-03-03T02:00:00+01:00;39733333
2019-03-03T03:00:00+01:00;25433333
2019-03-03T04:00:00+01:00;25000000
2019-03-03T05:00:00+01:00;25000000
2019-03-03T06:00:00+01:00;33666666
2019-03-03T07:00:00+01:00;25000000
2019-03-03T08:00:00+01:00;25000000
2019-03-03T09:00:00+01:00;33666666
2019-03-03T10:00:00+01:00;25000000
2019-03-03T11:00:00+01:00;25000000
2019-03-03T12:00:00+01:00;36266666
